question,sql
When was the private/non-sectarian school founded?,SELECT Founded FROM table WHERE Type = Private/Non-sectarian
Where is the school whose students are nicknamed Panthers located?,SELECT Location FROM table WHERE Nickname = Panthers
How many different enrollment numbers are there for the school whose students are nicknamed Barons?,SELECT COUNT Enrollment FROM table WHERE Nickname = Barons
"In how many different years did schools located in Logan Township, Pennsylvania join the Conference?","SELECT COUNT Joined FROM table WHERE Location = Logan Township, Pennsylvania"
How many different isolation numbers does the Jack Mountain peak have?,SELECT COUNT Isolation FROM table WHERE Mountain Peak = Jack Mountain
"What's the isolation of the mountain peak with a prominence of 1340.549 = 4,397feet 1,340m?","SELECT Isolation FROM table WHERE Prominence = 1340.549 = 4,397feet 1,340m"
"How many different isolation numbers does the peak with an elevation of 2782.622 = 9,127feet 2782m have?","SELECT COUNT Isolation FROM table WHERE Elevation = 2782.622 = 9,127feet 2782m"
"What's the isolation of the mountain peak with an elevation of 2705.793 = 8,875feet 2705m?","SELECT Isolation FROM table WHERE Elevation = 2705.793 = 8,875feet 2705m"
"What's the isolation of the mountain peak with prominence of 1340.549 = 4,397feet 1,340m?","SELECT Isolation FROM table WHERE Prominence = 1340.549 = 4,397feet 1,340m"
How many steals did Nicole Levandusky make?,SELECT Steals FROM table WHERE Player = Nicole Levandusky
How many rebounds did Rhonda Mapp make?,SELECT MAX Rebounds FROM table WHERE Player = Rhonda Mapp
What is the largest amount of assists that Nicole Levandusky made?,SELECT MAX Assists FROM table WHERE Player = Nicole Levandusky
What is the maximum number of blocks where rebounds equal 35?,SELECT MAX Blocks FROM table WHERE Rebounds = 35
How many assists did Delisha Milton-Jones make?,SELECT Assists FROM table WHERE Player = DeLisha Milton-Jones
Name the total apps for eddie carr,SELECT MAX Total Apps FROM table WHERE Name = Eddie Carr
Name the fa cup apps for arthur morton,SELECT FA Cup Apps FROM table WHERE Name = Arthur Morton
Name the position for billy price,SELECT Position FROM table WHERE Name = Billy Price
Name the total number of position for don clegg,SELECT COUNT Position FROM table WHERE Name = Don Clegg
Name the nation where jeff barker is from,SELECT Nation FROM table WHERE Name = Jeff Barker
Name the fa cup apps for george green,SELECT FA Cup Apps FROM table WHERE Name = George Green
Name the school that was founded in 1950,SELECT Institution FROM table WHERE Founded = 1950
Name the most founded for sea gulls,SELECT MAX Founded FROM table WHERE Nickname = Sea Gulls
Name the location for eagles,SELECT Location FROM table WHERE Nickname = Eagles
Name the enrollment for 2007-08,SELECT Enrollment FROM table WHERE Joined = 2007-08
Name the least new points for steffi graf,SELECT MIN New points FROM table WHERE Player = Steffi Graf
"Name the most points for champion, won in the final against amélie mauresmo","SELECT MAX Points FROM table WHERE Status = Champion, won in the final against Amélie Mauresmo"
Name the further cities for slovakia and west direction,SELECT Further Cities FROM table WHERE Country = Slovakia AND Direction = West
Name the distance from north,SELECT Distance FROM table WHERE Direction = North
Name the number of direction for  győr-moson-sopron,"SELECT COUNT Direction FROM table WHERE County, Oblast or State = Győr-Moson-Sopron"
Name the further cities for east romania,SELECT Further Cities FROM table WHERE Direction = East AND Country = Romania
Name the number of direction for debrecen,SELECT COUNT Direction FROM table WHERE Further Cities = Debrecen
What's the nickname of the students of the school founded in 1933?,SELECT Nickname FROM table WHERE Founded = 1933
On how many locations is the Saint Joseph's College of Maine located?,SELECT COUNT Location FROM table WHERE Institution = Saint Joseph's College of Maine
"On how many different dates did schools from Chestnut Hill, Massachusetts join the conference?","SELECT COUNT Joined FROM table WHERE Location = Chestnut Hill, Massachusetts"
What is the type of the school whose students' nickname is tigers?,SELECT Type FROM table WHERE Nickname = Tigers
What's the type of the school whose students' name is spirits?,SELECT Type FROM table WHERE Nickname = Spirits
"What school is located in Chestnut Hill, Massachusetts?","SELECT Institution FROM table WHERE Location = Chestnut Hill, Massachusetts"
"What type is the school located in Macon, Georgia?","SELECT Type FROM table WHERE Location = Macon, Georgia"
"What's the nickname of the school in Maryville, Tennessee?","SELECT Nickname FROM table WHERE Location = Maryville, Tennessee"
Where is the school with nickname Tigers located?,SELECT Location FROM table WHERE Nickname = Tigers
What's the nickname of the students of the school that joined the Conference in 2010?,SELECT Nickname FROM table WHERE Joined = 2010
When was Daniel Webster College founded?,SELECT Founded FROM table WHERE Institution = Daniel Webster College
Where is Southern Vermont College located?,SELECT Location FROM table WHERE Institution = Southern Vermont College
In what year did the school with enrollment of 650 leave?,SELECT Left FROM table WHERE Enrollment = 650
What was the number of races in the season in which the team placed on the 14th position?,SELECT MIN Races FROM table WHERE Position = 14th
What is the lowest number of wins of a team?,SELECT MIN Wins FROM table
What's the minimal number of wins of a team?,SELECT MIN Wins FROM table
Name the institution for statesmen,SELECT Institution FROM table WHERE Nickname = Statesmen
Name the institution for yellowjackets,SELECT Institution FROM table WHERE Nickname = Yellowjackets
Name the type for hobart college,SELECT Type FROM table WHERE Institution = Hobart College
Name the location for 1829,SELECT Location FROM table WHERE Founded = 1829
Name the location of statesmen,SELECT Location FROM table WHERE Nickname = Statesmen
"What location was the congressional service of which the term ended in January 3, 2011?","SELECT Location FROM table WHERE Term ended = January 3, 2011"
"What branch was involved when the term began in January 3, 1985?","SELECT Branch FROM table WHERE Term began = January 3, 1985"
"What year was the congressional service elected for a term beginning on January 3, 1989?","SELECT Elected FROM table WHERE Term began = January 3, 1989"
"What group was in office when the term ended in January 3, 1993?","SELECT Office FROM table WHERE Term ended = January 3, 1993"
"How many terms began when the term ended in January 3, 1989?","SELECT COUNT Term began FROM table WHERE Term ended = January 3, 1989"
How many different total points does the couple ranked at number 5 have?,SELECT COUNT Total FROM table WHERE Rank = 5
What couple had vote percentage of 21.843%?,SELECT Couple FROM table WHERE Vote percentage = 21.843%
How many judges points did the couple ranked at number 5 have?,SELECT MAX Judges FROM table WHERE Rank = 5
What couple had less than 2.0 points from the public?,SELECT Couple FROM table WHERE Public < 2.0
What was the total result for couple Ellery and Frankie?,SELECT COUNT Result FROM table WHERE Couple = Ellery and Frankie
"If the vote percentage is 2.111%, what was the minimum rank?",SELECT MIN Rank FROM table WHERE Vote percentage = 2.111%
"If the total is 17, what was the maximum rank amount?",SELECT MAX Rank FROM table WHERE Total = 17
"For couple Todd and Susie, what was the vote percentage?",SELECT Vote percentage FROM table WHERE Couple = Todd and Susie
When 9 is the rank who are the couple?,SELECT Couple FROM table WHERE Rank = 9
When roxanne and daniel are the couple what is the highest rank?,SELECT MAX Rank FROM table WHERE Couple = Roxanne and Daniel
When ellery and frankie are the couple what is the highest total?,SELECT MAX Total FROM table WHERE Couple = Ellery and Frankie
When 8 is the public what are the results?,SELECT Result FROM table WHERE Public = 8
When 8 is the public and the result is safe what is the highest rank?,SELECT MAX Rank FROM table WHERE Result = Safe AND Public = 8
Name the karen when nicky is 2.5,SELECT Karen FROM table WHERE Nicky = 2.5
What is the capacity for the school that has the Owl Athletic Complex baseball stadium?,SELECT Capacity FROM table WHERE Baseball stadium = Owl Athletic Complex
What is the name of the softball stadium for the school that has Eastern Baseball Stadium?,SELECT Softball stadium FROM table WHERE Baseball stadium = Eastern Baseball Stadium
What is the name of UMass Boston's softball stadium?,SELECT Softball stadium FROM table WHERE School = UMass Boston
What is the name of Rhode Island College's softball stadium?,SELECT Softball stadium FROM table WHERE School = Rhode Island College
"How many basketball arenas are there that belong to a school with a capacity of 3,000?","SELECT COUNT Basketball arena FROM table WHERE Capacity = 3,000"
What is the name of the baseball stadium for the school with the Murray Center basketball arena?,SELECT Baseball stadium FROM table WHERE Basketball arena = The Murray Center
Where is the Westfield State University located?,SELECT Location FROM table WHERE Institution = Westfield State University
"When was the school in Salem, Massachusetts located?","SELECT Founded FROM table WHERE Location = Salem, Massachusetts"
What's the nickname of Westfield State University's students?,SELECT Nickname FROM table WHERE Institution = Westfield State University
What's Fitchburg State University's LEC sport?,SELECT LEC Sport FROM table WHERE Institution = Fitchburg State University
Where is the school whose students are nicknamed falcons located?,SELECT Location FROM table WHERE Nickname = Falcons
What's Salem State University's primary conference?,SELECT Primary Conference FROM table WHERE Institution = Salem State University
Name the incumbent for north carolina 9,SELECT Incumbent FROM table WHERE District = North Carolina 9
Name the total party for north carolina 7,SELECT COUNT Party FROM table WHERE District = North Carolina 7
Name the incumbent for sue myrick (r) 69.0% jeff doctor (d) 31.0%,SELECT Incumbent FROM table WHERE Candidates = Sue Myrick (R) 69.0% Jeff Doctor (D) 31.0%
Name the result for north carolina 7,SELECT Result FROM table WHERE District = North Carolina 7
Name the incumbent for north carolina 9,SELECT Incumbent FROM table WHERE District = North Carolina 9
What's Babson College's enrollment?,SELECT MAX Enrollment FROM table WHERE Institution = Babson College
When has Clark University joined the Conference?,SELECT MAX Joined FROM table WHERE Institution = Clark University
"What's the type of the school in New London, Connecticut? ","SELECT Type FROM table WHERE Location = New London, Connecticut"
"When was the school in Springfield, Massachusetts founded?","SELECT MAX Founded FROM table WHERE Location = Springfield, Massachusetts"
"What school is located in Worcester, Massachusetts?","SELECT Institution FROM table WHERE Location = Worcester, Massachusetts"
Who are the candidates in Florida 13 district?,SELECT Candidates FROM table WHERE District = Florida 13
How many different pairs of candidates were there for the district first elected in 1988?,SELECT COUNT Candidates FROM table WHERE First elected = 1988
Who were candidates in Florida 10 district?,SELECT Candidates FROM table WHERE District = Florida 10
What party got elected in Florida 9 district?,SELECT Party FROM table WHERE District = Florida 9
What is the first round that had #67 the racer's group with the fastest lap?,SELECT MIN Rnd FROM table WHERE Fastest Lap = #67 The Racer's Group
How many races had #99 gainsco/bob stallings racing in round 10?,SELECT COUNT Fastest Lap FROM table WHERE Rnd = 10 AND Pole Position = #99 GAINSCO/Bob Stallings Racing
What incumbent was first elected in 2009?,SELECT Incumbent FROM table WHERE First elected = 2009
How many were first elected in California 7?,SELECT First elected FROM table WHERE District = California 7
What district did George Miller belong to?,SELECT District FROM table WHERE Incumbent = George Miller
When mark critz (d) 50.8% tim burns (r) 49.2% are the candidates what is the party?,SELECT Party FROM table WHERE Candidates = Mark Critz (D) 50.8% Tim Burns (R) 49.2%
When chris carney is the incumbent what are the results?,SELECT Result FROM table WHERE Incumbent = Chris Carney
When 1994 is the first elected what is the district?,SELECT District FROM table WHERE First elected = 1994
When pennsylvania 3 is the district who is the incumbent?,SELECT Incumbent FROM table WHERE District = Pennsylvania 3
When 1984 is the first elected who are the candidates?,SELECT Candidates FROM table WHERE First elected = 1984
What is Salva Ortega's result?,SELECT Result FROM table WHERE Artist = Salva Ortega
"How many televotes are there for ""Lujuria""?","SELECT Televotes FROM table WHERE Song = ""Lujuria"""
How many televotes are there where there is 4 jury votes?,SELECT Televotes FROM table WHERE Jury votes = 4
How many jury votes for the televote of 7?,SELECT Jury votes FROM table WHERE Televotes = 7
What is the result for Normativa Vigente?,SELECT Result FROM table WHERE Artist = Normativa Vigente
What song has 24 votes?,SELECT Song FROM table WHERE Total votes = 24
What is the least total votes?,SELECT MIN Total votes FROM table
How many votes does Carlos Ferrer Eai have?,SELECT Total votes FROM table WHERE Artist = Carlos Ferrer EAI
How many players are on this list?,SELECT MAX # FROM table
Who won the French Open in 1999?,SELECT Player FROM table WHERE French Open = 1999
Who won the US Open in 1937?,SELECT Player FROM table WHERE US Open = 1937
How many times did Roy Emerson win the Australian Open?,SELECT COUNT Australian Open FROM table WHERE Player = Roy Emerson
At what age did Roy Emerson complete the Grand Slam?,SELECT MAX Age FROM table WHERE Player = Roy Emerson
Name the least rank for 2,SELECT MIN Rank FROM table WHERE Total = 2
Name the total for jamie carragher,SELECT Total FROM table WHERE Player = Jamie Carragher
Name the total number of club worl cup for djibril cisse,SELECT COUNT Club World Cup FROM table WHERE Player = Djibril Cisse
What's the post code of the county with the Chinese name  潜山县 / 潛山縣?,SELECT MIN Post Code FROM table WHERE Chinese Name (Simplified / Traditional) = 潜山县 / 潛山縣
What's the English name of the county called 太湖县 / 太湖縣 in Chinese?,SELECT English Name FROM table WHERE Chinese Name (Simplified / Traditional) = 太湖县 / 太湖縣
What's the English name of the county with a postcode 246400?,SELECT English Name FROM table WHERE Post Code = 246400
What's the Chinese (simplified/traditional) name of Susong County?,SELECT Chinese Name (Simplified / Traditional) FROM table WHERE English Name = Susong County
What's the Pinyin name of the county with a postcode 246500?,SELECT Pinyin FROM table WHERE Post Code = 246500
On how many different dates was a game against Houston played?,SELECT COUNT Date FROM table WHERE Opponent = Houston
How many different players did the high assists in games where the high rebounds were done by Sales (10)?,SELECT COUNT High assists FROM table WHERE High rebounds = Sales (10)
What's the number of the game played on June 22?,SELECT MAX Game FROM table WHERE Date = June 22
Who was game number 8 played against?,SELECT Opponent FROM table WHERE Game = 8
Who did the high rebounds in the game in which five players (3) did the high assists?,SELECT High rebounds FROM table WHERE High assists = Five Players (3)
What are all  the conjugated forms of the verb where the el/ ella/usted verb is piense?,SELECT Nosotros / Nosotras FROM table WHERE Él / Ella / Usted = piense
What are all  the conjugated forms of the verb moler where the vosotros / vosotras is moláis for the yo tense?,SELECT Yo FROM table WHERE Vosotros / Vosotras = moláis
how many verbs have the yo form as sienta?,SELECT COUNT Verbs FROM table WHERE Yo = sienta
What  us the conjucated form(s)  of  el/ella/ usted when the Vos (*) is muelas / molás?,SELECT Él / Ella / Usted FROM table WHERE Vos (*) = muelas / molás
What are the forms of the conjucated vos(*) where él / ella / usted is muela,SELECT Vos (*) FROM table WHERE Él / Ella / Usted = muela
How many have the Till Agra of 500?,SELECT COUNT Till Mathura FROM table WHERE Till Agra = 500
What kind of vehicle is the agra 1050?,SELECT Vehicle Category FROM table WHERE Till Agra = 1050
"If the till aligarh is 150, what the mac till mathura?",SELECT MAX Till Mathura FROM table WHERE Till Aligarh = 150
"If the till agra is 1050, what is the max round trip?",SELECT MAX For Round Trip FROM table WHERE Till Agra = 1050
"If the vehicle category is multi-axle vehicle, what is the till aligarh?",SELECT MIN Till Aligarh FROM table WHERE Vehicle Category = Multi-axle Vehicle
What's the lowest  number of a game where S. Johnson (3) did the most high assists?,SELECT MIN Game FROM table WHERE High assists = S. Johnson (3)
Who was the game on July 12 played against?,SELECT Opponent FROM table WHERE Date = July 12
What was the record in the game where McWilliams (8) did the most high rebounds?,SELECT Record FROM table WHERE High rebounds = McWilliams (8)
Who was the game on July 7 played against?,SELECT Opponent FROM table WHERE Date = July 7
what is the owner of the callsign wliw,SELECT Owner FROM table WHERE Callsign = WLIW
how many callsigns are for the branding telemundo 47,SELECT COUNT Callsign FROM table WHERE Branding = Telemundo 47
what is the virtual callsign if is wnet,SELECT (Virtual) FROM table WHERE Callsign = WNET
what is the name of the branding where the virtual is 13.1,SELECT Branding FROM table WHERE (Virtual) = 13.1
Name the district for newtown square,SELECT MIN District FROM table WHERE Residence = Newtown Square
Name the party for bensalem,SELECT Party FROM table WHERE Residence = Bensalem
Name the term ends for bethlehem,SELECT COUNT Term ends FROM table WHERE Residence = Bethlehem
Name the total number of districts for rob teplitz,SELECT COUNT District FROM table WHERE Representative = Rob Teplitz
What was the result for the contestant whose background was as a business major?,SELECT Result FROM table WHERE Background = Business major
What was the background of the contestant whose result was 11th place?,SELECT Background FROM table WHERE Result = 11th place
For how many contestants was the background internet dreamer? ,SELECT COUNT Contestant FROM table WHERE Background = Internet dreamer
What was the result for the contestant who was a small business owner? ,SELECT Result FROM table WHERE Background = Small business owner
What team was the contestant who finished in 10th place originally on? ,SELECT Original team FROM table WHERE Result = 10th place
What is the hometown of the contestant whose background is as a financial consultant? ,SELECT Hometown FROM table WHERE Background = Financial consultant
"If the rating/share is 3.8/10, what is the total number of rating?",SELECT COUNT Rating FROM table WHERE Rating/Share (18-49) = 3.8/10
"If the night rank is 9, what is the total share number?",SELECT COUNT Share FROM table WHERE Rank (Night) = 9
What is the name of the episode with a night rank of 9?,SELECT Episode FROM table WHERE Rank (Night) = 9
"If the amount of viewers is 5.14 million and the rating/share is 2.0/6, what is the ranking?",SELECT Rating FROM table WHERE Rating/Share (18-49) = 2.0/6 AND Viewers (millions) = 5.14
"For cities with a census of 74000 in 1920, what was their census in 1890?",SELECT 1890 census FROM table WHERE 1920 census = 74000
"For cities with a census of 296000 in 1940, what was their census in 1920?",SELECT 1920 census FROM table WHERE 1940 census = 296000
How many cities had a census of 400000 in 1940?,SELECT COUNT Rank FROM table WHERE 1940 census = 400000
"Name the season number for  ""the night of the feathered fury""","SELECT COUNT Season # FROM table WHERE Title = ""The Night of the Feathered Fury"""
Name the writers for swedish sailor,SELECT Writer(s) FROM table WHERE Arties disguises = Swedish sailor
"Name the series number for ""the night of the flying pie plate""","SELECT MAX Series # FROM table WHERE Title = ""The Night of the Flying Pie Plate"""
"Name the season number for herr ostropolyer, pastry chef","SELECT MIN Season # FROM table WHERE Arties disguises = Herr Ostropolyer, pastry chef"
Name the principal of Northfield Junior-Senior High School.,SELECT Principal FROM table WHERE School = Northfield Junior-Senior High School
What is the name of the school/s in North Manchester?,SELECT School FROM table WHERE City / Town = North Manchester
Name the school/s with is size of 604.,SELECT School FROM table WHERE Size = 604
What is the IDOE Profile in North Manchester?,SELECT IDOE Profile FROM table WHERE City / Town = North Manchester
What are the grades served at Manchester Junior-Senior High School?,SELECT Grades FROM table WHERE School = Manchester Junior-Senior High School
"Writer Max Ehrlich, what is the minimum series number?",SELECT MIN Series # FROM table WHERE Writer(s) = Max Ehrlich
"From writer Denne Bart Petitclerc, what is the maximum season number?",SELECT MAX Season # FROM table WHERE Writer(s) = Denne Bart Petitclerc
"From writer Max Ehrlich, what is the total amount of series numbers?",SELECT COUNT Series # FROM table WHERE Writer(s) = Max Ehrlich
Who is the winning driver when rd. is 3?,SELECT Winning driver FROM table WHERE Rd. = 3
How many winning drivers are there when the winning team is Bryan herta autosport?,SELECT COUNT Winning driver FROM table WHERE Winning team = Bryan Herta Autosport
Which report is where rd. is 9?,SELECT Report FROM table WHERE Rd. = 9
Who held the fastest lap in the race in texas and dario franchitti is the winning driver?,SELECT Fastest lap FROM table WHERE Race = Texas AND Winning driver = Dario Franchitti
"What is top ep number for ""missile bound cat""?","SELECT MAX Ep FROM table WHERE Pixie and Dixie = ""Missile Bound Cat"""
How many Huckleberry Hound episodes were aired on 1960.09.18?,SELECT COUNT Huckleberry Hound FROM table WHERE Air date = 1960.09.18
"Who animated ""Science Friction""","SELECT Credited Animators FROM table WHERE Huckleberry Hound = ""Science Friction"""
"What is the air date of ""Rah Rah Bear""?","SELECT Air date FROM table WHERE Yogi Bear = ""Rah Rah Bear"""
"What episode includes ""Cop and Saucer""?","SELECT MIN Ep FROM table WHERE Huckleberry Hound = ""Cop and Saucer"""
What is the Pixie and Dixie skit in episode 7?,SELECT Pixie and Dixie FROM table WHERE Ep = 7
What is the Yogi Bear that aired on 1959.12.21?,SELECT Yogi Bear FROM table WHERE Air date = 1959.12.21
"From brand Yes! FM 101.1, what was the frequency?",SELECT Frequency FROM table WHERE Branding = YES! FM 101.1
"If the branding is Yes! FM 91.1 Boracay, what is the power?",SELECT Power (kW) FROM table WHERE Branding = YES! FM 91.1 Boracay
"If the call sign is DXYR, what is the branding?",SELECT Branding FROM table WHERE Callsign = DXYR
When divisional semifinals are the playoffs what is the year?,SELECT Year FROM table WHERE Playoffs = Divisional Semifinals
When divisional finals are the playoffs what is the regular season?,SELECT Regular Season FROM table WHERE Playoffs = Divisional Finals
When 1992 is the year how many divisions are there?,SELECT COUNT Division FROM table WHERE Year = 1992
When final is the open cup what is the league?,SELECT League FROM table WHERE Open Cup = Final
When 1995 is the year what is the open cup?,SELECT Open Cup FROM table WHERE Year = 1995
When 2008 is the year how many divisions are there?,SELECT COUNT Division FROM table WHERE Year = 2008
what is the least number of stumps in a game with 13 dismissals,SELECT MIN Stumped FROM table WHERE Dismissals = 13
what is the highest number of dismissals in a match with 8 innings,SELECT COUNT Dismissals FROM table WHERE Innings = 8
what is the rank of adam gilchrist,SELECT COUNT Rank FROM table WHERE Player = Adam Gilchrist
Where is the ballpark of the Twins?,SELECT Location FROM table WHERE Team = Twins
How many locations have been used for ballparks named Memorial Stadium?,SELECT COUNT Location FROM table WHERE Ballpark = Memorial Stadium
When was the park demolished in 1994 closed?,SELECT MIN Closed FROM table WHERE Demod = 1994
Which flag was on the Green Marine's boat?,SELECT Flag FROM table WHERE Builder = Green Marine
Who build the boat where Ken Read was the skipper?,SELECT Builder FROM table WHERE Skipper = Ken Read
Farr Yacht Design designed boats for how many country/flags?,SELECT COUNT Flag FROM table WHERE Design Firm = Farr Yacht Design
Who were the builders of the boat designed by Botin Carkeek?,SELECT Builder FROM table WHERE Design Firm = Botin Carkeek
In how many locations was the episode with the Bailey family filmed?,SELECT COUNT Location(s) FROM table WHERE Family/families = The Bailey Family
How many episodes with different season numbers had the Jeans family in them?,SELECT COUNT No. in season FROM table WHERE Family/families = The Jeans Family
When did the episode with the Ririe family air for the first time?,SELECT Original air date FROM table WHERE Family/families = The Ririe Family
Where was the episode with series number US9 filmed?,SELECT Location(s) FROM table WHERE No. in series = US9
What's the season number of the episode with series number US6?,SELECT MIN No. in season FROM table WHERE No. in series = US6
What family was featured in episode us14 of the series?,SELECT Family/families FROM table WHERE No. in series = US14
How many locations featured the Webb Family?,SELECT COUNT Location(s) FROM table WHERE Family/families = The Webb Family
What episode in the season was episode us17 in the series?,SELECT COUNT No. in season FROM table WHERE No. in series = US17
What episode in the season was episode us18 in the series?,SELECT COUNT No. in season FROM table WHERE No. in series = US18
What episode in the series was the Amaral family featured?,SELECT No. in series FROM table WHERE Family/families = The Amaral Family
Who is the round winner when entrant is craven mild racing?,SELECT Round winner FROM table WHERE Entrant = Craven Mild Racing
Who is the round winner of the wanneroo park circuit?,SELECT Round winner FROM table WHERE Circuit = Wanneroo Park
Which circuit has two heats as the format?,SELECT Circuit FROM table WHERE Format = Two heats
Name the original air date for the potter family,SELECT Original air date FROM table WHERE Family/families = The Potter Family
how many original air date where family/families is the ryder family and the schwartz family,SELECT COUNT Original air date FROM table WHERE Family/families = The Ryder Family and The Schwartz Family
where was the abbas family and the pickering family located,SELECT Location(s) FROM table WHERE Family/families = The Abbas Family and The Pickering Family
in which class is the position forward,SELECT Class FROM table WHERE Position = Forward
in which season the position was center,SELECT Season FROM table WHERE Position = Center
in which class was the ohio state university,SELECT Class FROM table WHERE University = Ohio State
Name the number of families for uk30,SELECT COUNT Family/families FROM table WHERE No. overall = UK30
Name the number in series for in the ward family and the wren family,SELECT MAX No. in series FROM table WHERE Family/families = The Ward Family and The Wren Family
Name the family for uk31,SELECT Family/families FROM table WHERE No. overall = UK31
Name the least number in series,SELECT MIN No. in series FROM table
Name the number of locations for uk32,SELECT COUNT Location(s) FROM table WHERE No. overall = UK32
Name the air date for uk17,SELECT Original air date FROM table WHERE No. overall = UK17
Name the family/families uk17,SELECT Family/families FROM table WHERE No. overall = UK17
What is the number of the truck that has the crew chief Billy Wilburn?,SELECT MAX # FROM table WHERE Crew Chief = Billy Wilburn
What number truck is owned by Stephen Germain?,SELECT # FROM table WHERE Listed Owner(s) = Stephen Germain
What team is sponsored by d3 Outdoors?,SELECT Team FROM table WHERE Primary Sponsor(s) = D3 Outdoors
How many teams does Jeff Wyler own?,SELECT COUNT Team FROM table WHERE Listed Owner(s) = Jeff Wyler
Who is the primary sponsor for crew cheif Rick Ren's team?,SELECT Primary Sponsor(s) FROM table WHERE Crew Chief = Rick Ren
Who sponsors owner Bobby Dotter's team?,SELECT Primary Sponsor(s) FROM table WHERE Listed Owner(s) = Bobby Dotter
What's the price of the team whose captain is Sanath Jayasuriya?,SELECT Price FROM table WHERE Captain = Sanath Jayasuriya
What team is from the Eastern province?,SELECT Team FROM table WHERE Province = Eastern
Who's the head coach of the team with a price of $3.22 million?,SELECT Head coach FROM table WHERE Price = $3.22 million
In how many teams is Waqar Younis the head coach?,SELECT COUNT Team FROM table WHERE Head coach = Waqar Younis
What province does the Ruhuna Royals team come from?,SELECT Province FROM table WHERE Team = Ruhuna Royals
When was Alexey Kuleshov born?,SELECT Birth Date FROM table WHERE Player = Alexey Kuleshov
What is the trigger pack on the Colt 602 with the a1 rear sight type? ,SELECT Trigger pack FROM table WHERE Rear sight type = A1 AND Colt model no. = 602
How many case deflectors are there for the Colt 646? ,SELECT COUNT Case deflector? FROM table WHERE Colt model no. = 646
What is the rear sight type on the model with the acr muzzle brake device? ,SELECT Rear sight type FROM table WHERE Muzzle device = ACR muzzle brake
Which muzzle devices are on the Colt 603? ,SELECT Muzzle device FROM table WHERE Colt model no. = 603
How many millions of people in the US watched the episode with season number 8?,SELECT U.S. viewers (millions) FROM table WHERE No. in season = 8
How many episodes had the series number of 38?,SELECT COUNT Directed by FROM table WHERE No. in series = 38
How many different numbers of people in the US who'd seen the episode with a season number 8 are there?,SELECT COUNT U.S. viewers (millions) FROM table WHERE No. in season = 8
Name the rufus guest for 15 december 2008,SELECT COUNT Rufus guest FROM table WHERE First broadcast = 15 December 2008
Name the winner for jason byrne,SELECT Winner FROM table WHERE Marcus guest = Jason Byrne
Name the rufus guest for episode 1x07,SELECT Rufus guest FROM table WHERE Episode = 1x07
Name the winner for 26 january 2009,SELECT Winner FROM table WHERE First broadcast = 26 January 2009
When was episode 2x11 aired for the first time?,SELECT First broadcast FROM table WHERE Episode = 2x11
Who won the episode in which Sean Lock was Rufus's guest?,SELECT Winner FROM table WHERE Rufus guest = Sean Lock
When was the episode 2x10 aired for the first time?,SELECT First broadcast FROM table WHERE Episode = 2x10
Who was Marcus's guest in the episode when Rufus's guest was Rory McGrath?,SELECT Marcus guest FROM table WHERE Rufus guest = Rory McGrath
"Name the total number of timeslot for august 9, 2007 finale","SELECT COUNT Timeslot ( EDT ) FROM table WHERE Season Finale = August 9, 2007"
Name the timeslot for 9.4 viewers for 2006,SELECT Timeslot ( EDT ) FROM table WHERE Viewers (in millions) = 9.4 AND TV Season = 2006
How many items were under ranking l.a.(2) when the world ranking was 21st?,SELECT COUNT Ranking L.A. (2) FROM table WHERE World Ranking (1) = 21st
What was the author/editor/source when the l.a. ranking was 1st?,SELECT Author / Editor / Source FROM table WHERE Ranking L.A. (2) = 1st
How many years were listed under index when there were 157 countries sampled?,SELECT COUNT Index (Year) FROM table WHERE Countries sampled = 157
What was the publication year ranking l.a. is 1st?,SELECT Year of publication FROM table WHERE Ranking L.A. (2) = 1st
How many years were recorded when world ranking was 21st?,SELECT COUNT Index (Year) FROM table WHERE World Ranking (1) = 21st
What Wireless LAN had a process technology of 90nm and a Carmel centrino?,SELECT Wireless LAN FROM table WHERE Process Technology = 90nm AND Centrino = Carmel
How many series had the chipset of the Intel Centrino Ultimate-N 6300 wireless LAN with the codename Arrandale?,SELECT Chipset FROM table WHERE Codename = Arrandale AND Wireless LAN = Intel Centrino Ultimate-N 6300
What's the process technology of the Intel WiFi Link 5100 wireless LAN?,SELECT Process Technology FROM table WHERE Wireless LAN = Intel WiFi Link 5100
What type of processor does the Intel Centrino Wireless-N 105 wireless LAN have?,SELECT Processor FROM table WHERE Wireless LAN = Intel Centrino Wireless-N 105
What's the code name of the wireless LAN with Chief River Centrino?,SELECT Codename FROM table WHERE Centrino = Chief River
on 19 april 1985 how many of number last flew,SELECT COUNT Number FROM table WHERE Last flew = 19 April 1985
what is the registration located on 31 january 1975 where first flew?,SELECT Registration FROM table WHERE First flew = 31 January 1975
at what location is the last flew on 11 june 2000,SELECT Location FROM table WHERE Last flew = 11 June 2000
how many number is located at registration f-bvff?,SELECT COUNT Number FROM table WHERE Registration = F-BVFF
Who is the television commentator when the radio commentator is Galyna Babiy?,SELECT Television commentator FROM table WHERE Radio commentator = Galyna Babiy
Who is the television commentator when the spokesperson is Kateryna Osadcha?,SELECT Television commentator FROM table WHERE Spokesperson = Kateryna Osadcha
What is the year when the spoksperson is Ruslana?,SELECT MIN Year(s) FROM table WHERE Spokesperson = Ruslana
Who is the television commentator for the year 2006?,SELECT Television commentator FROM table WHERE Year(s) = 2006
